datetime,symbol,open,high,low,close,volume
2024-01-18 14:00:00,NSE:AMBUJACEM,521.2,523.75,520.7,523.4,37865.0
2024-01-18 14:15:00,NSE:AMBUJACEM,523.4,523.65,521.05,521.95,23059.0
2024-01-18 14:30:00,NSE:AMBUJACEM,521.95,524.3,521.0,523.75,27047.0
2024-01-18 14:45:00,NSE:AMBUJACEM,523.75,525.0,523.05,523.75,39964.0
2024-01-18 15:00:00,NSE:AMBUJACEM,523.9,525.4,523.2,524.0,86579.0
2024-01-18 15:15:00,NSE:AMBUJACEM,524.0,525.0,523.05,524.7,151507.0
2024-01-19 09:15:00,NSE:AMBUJACEM,526.0,532.6,526.0,531.65,251329.0
2024-01-19 09:30:00,NSE:AMBUJACEM,531.65,532.0,529.85,530.6,79198.0
2024-01-19 09:45:00,NSE:AMBUJACEM,530.2,530.95,529.05,529.8,55198.0
2024-01-19 10:00:00,NSE:AMBUJACEM,530.1,530.75,529.45,530.2,22654.0
2024-01-19 10:15:00,NSE:AMBUJACEM,530.25,531.0,530.1,530.95,13131.0
2024-01-19 10:30:00,NSE:AMBUJACEM,530.75,531.0,529.0,529.15,23544.0
2024-01-19 10:45:00,NSE:AMBUJACEM,529.05,530.0,528.4,529.7,32170.0
2024-01-19 11:00:00,NSE:AMBUJACEM,529.75,529.95,527.6,528.15,98449.0
2024-01-19 11:15:00,NSE:AMBUJACEM,528.0,528.6,527.25,528.1,9916.0
2024-01-19 11:30:00,NSE:AMBUJACEM,528.1,528.85,527.25,528.5,30331.0
2024-01-19 11:45:00,NSE:AMBUJACEM,528.4,529.5,527.55,528.35,39856.0
2024-01-19 12:00:00,NSE:AMBUJACEM,528.05,528.45,526.0,526.15,27867.0
2024-01-19 12:15:00,NSE:AMBUJACEM,526.1,526.5,525.25,525.8,50736.0
2024-01-19 12:30:00,NSE:AMBUJACEM,525.9,527.9,525.75,527.55,26553.0
2024-01-19 12:45:00,NSE:AMBUJACEM,527.4,530.35,527.2,530.2,38794.0
2024-01-19 13:00:00,NSE:AMBUJACEM,530.35,531.5,528.1,531.5,40039.0
2024-01-19 13:15:00,NSE:AMBUJACEM,531.55,532.25,529.55,530.4,51016.0
2024-01-19 13:30:00,NSE:AMBUJACEM,530.3,531.2,529.75,530.2,104282.0
2024-01-19 13:45:00,NSE:AMBUJACEM,530.0,531.15,529.35,530.9,44640.0
2024-01-19 14:00:00,NSE:AMBUJACEM,530.75,531.0,529.25,529.85,48748.0
2024-01-19 14:15:00,NSE:AMBUJACEM,529.85,538.0,528.05,537.5,752343.0
2024-01-19 14:30:00,NSE:AMBUJACEM,537.5,537.6,535.1,537.0,221310.0
2024-01-19 14:45:00,NSE:AMBUJACEM,537.0,537.55,535.25,535.8,126811.0
2024-01-19 15:00:00,NSE:AMBUJACEM,536.25,537.75,535.3,536.7,204001.0
2024-01-19 15:15:00,NSE:AMBUJACEM,537.0,537.85,536.0,537.0,264027.0
2024-01-20 09:15:00,NSE:AMBUJACEM,539.65,539.95,534.9,535.1,110710.0
2024-01-20 09:30:00,NSE:AMBUJACEM,535.15,535.15,532.15,533.0,67107.0
2024-01-20 09:45:00,NSE:AMBUJACEM,533.0,534.55,532.1,532.5,40005.0
2024-01-20 10:00:00,NSE:AMBUJACEM,532.85,534.2,532.25,534.0,25405.0
2024-01-20 10:15:00,NSE:AMBUJACEM,534.25,535.0,534.0,534.2,31704.0
2024-01-20 10:30:00,NSE:AMBUJACEM,534.45,534.5,533.8,534.0,8916.0
2024-01-20 10:45:00,NSE:AMBUJACEM,534.3,534.55,533.7,534.15,22803.0
2024-01-20 11:00:00,NSE:AMBUJACEM,533.8,534.45,533.6,533.9,14945.0
2024-01-20 11:15:00,NSE:AMBUJACEM,533.9,534.3,533.6,533.95,13427.0
2024-01-20 11:30:00,NSE:AMBUJACEM,534.0,538.85,533.9,537.1,124968.0
2024-01-20 11:45:00,NSE:AMBUJACEM,537.05,537.35,535.65,535.65,46750.0
2024-01-20 12:00:00,NSE:AMBUJACEM,536.55,537.3,535.65,536.3,26947.0
2024-01-20 12:15:00,NSE:AMBUJACEM,536.25,536.5,535.1,535.45,34494.0
2024-01-20 12:30:00,NSE:AMBUJACEM,535.2,535.45,532.6,533.1,56068.0
2024-01-20 12:45:00,NSE:AMBUJACEM,533.25,535.0,533.0,534.9,21724.0
2024-01-20 13:00:00,NSE:AMBUJACEM,534.85,536.3,534.85,535.8,29736.0
2024-01-20 13:15:00,NSE:AMBUJACEM,535.8,537.0,535.5,536.5,17551.0
2024-01-20 13:30:00,NSE:AMBUJACEM,536.5,537.6,536.5,537.5,30994.0
2024-01-20 13:45:00,NSE:AMBUJACEM,537.5,539.45,537.15,538.75,121586.0
2024-01-20 14:00:00,NSE:AMBUJACEM,538.6,540.0,538.6,540.0,91656.0
2024-01-20 14:15:00,NSE:AMBUJACEM,539.85,546.0,539.0,544.55,670467.0
2024-01-20 14:30:00,NSE:AMBUJACEM,544.8,545.45,541.75,542.35,241134.0
2024-01-20 14:45:00,NSE:AMBUJACEM,542.05,545.7,540.9,540.95,272108.0
2024-01-20 15:00:00,NSE:AMBUJACEM,541.2,542.5,537.8,542.0,291510.0
2024-01-20 15:15:00,NSE:AMBUJACEM,542.0,542.5,539.75,540.0,161659.0
2024-01-23 09:15:00,NSE:AMBUJACEM,542.05,543.35,538.0,540.45,161067.0
