datetime,symbol,open,high,low,close,volume
2024-01-18 14:00:00,NSE:BALRAMCHIN,386.2,387.35,384.5,384.55,60066.0
2024-01-18 14:15:00,NSE:BALRAMCHIN,384.1,384.45,379.5,383.7,466320.0
2024-01-18 14:30:00,NSE:BALRAMCHIN,383.3,386.65,382.9,386.2,84207.0
2024-01-18 14:45:00,NSE:BALRAMCHIN,386.2,387.85,385.2,385.2,80618.0
2024-01-18 15:00:00,NSE:BALRAMCHIN,385.25,386.5,384.5,385.0,73326.0
2024-01-18 15:15:00,NSE:BALRAMCHIN,385.0,385.75,383.65,384.95,243417.0
2024-01-19 09:15:00,NSE:BALRAMCHIN,388.5,388.65,385.3,386.7,95274.0
2024-01-19 09:30:00,NSE:BALRAMCHIN,386.6,387.3,386.0,386.15,61475.0
2024-01-19 09:45:00,NSE:BALRAMCHIN,386.2,388.45,386.0,388.3,61103.0
2024-01-19 10:00:00,NSE:BALRAMCHIN,388.3,388.95,388.1,388.35,43072.0
2024-01-19 10:15:00,NSE:BALRAMCHIN,388.3,389.8,387.8,389.65,34459.0
2024-01-19 10:30:00,NSE:BALRAMCHIN,389.55,389.95,388.7,389.05,24105.0
2024-01-19 10:45:00,NSE:BALRAMCHIN,389.1,389.1,388.15,388.25,23586.0
2024-01-19 11:00:00,NSE:BALRAMCHIN,388.5,390.45,388.4,388.6,110576.0
2024-01-19 11:15:00,NSE:BALRAMCHIN,388.7,389.4,387.8,388.5,40501.0
2024-01-19 11:30:00,NSE:BALRAMCHIN,388.4,388.45,387.85,388.25,17242.0
2024-01-19 11:45:00,NSE:BALRAMCHIN,388.0,389.7,388.0,389.15,23733.0
2024-01-19 12:00:00,NSE:BALRAMCHIN,389.4,389.4,388.05,388.5,26435.0
2024-01-19 12:15:00,NSE:BALRAMCHIN,388.6,389.1,388.35,388.8,12326.0
2024-01-19 12:30:00,NSE:BALRAMCHIN,388.75,388.95,388.15,388.95,13484.0
2024-01-19 12:45:00,NSE:BALRAMCHIN,388.75,389.1,388.5,388.85,14685.0
2024-01-19 13:00:00,NSE:BALRAMCHIN,388.85,389.0,388.1,388.65,12993.0
2024-01-19 13:15:00,NSE:BALRAMCHIN,388.95,389.4,388.3,388.8,10872.0
2024-01-19 13:30:00,NSE:BALRAMCHIN,388.5,389.35,388.1,389.0,16491.0
2024-01-19 13:45:00,NSE:BALRAMCHIN,388.75,389.7,388.3,389.0,22715.0
2024-01-19 14:00:00,NSE:BALRAMCHIN,389.0,389.5,387.75,388.0,144398.0
2024-01-19 14:15:00,NSE:BALRAMCHIN,388.0,388.0,387.05,387.9,21783.0
2024-01-19 14:30:00,NSE:BALRAMCHIN,388.0,388.0,384.6,385.0,96244.0
2024-01-19 14:45:00,NSE:BALRAMCHIN,385.0,386.0,384.1,384.25,176118.0
2024-01-19 15:00:00,NSE:BALRAMCHIN,384.3,384.6,381.2,381.4,235701.0
2024-01-19 15:15:00,NSE:BALRAMCHIN,381.25,383.5,380.5,382.8,154987.0
2024-01-20 09:15:00,NSE:BALRAMCHIN,384.0,386.15,384.0,384.5,47403.0
2024-01-20 09:30:00,NSE:BALRAMCHIN,384.6,385.0,382.85,384.65,46145.0
2024-01-20 09:45:00,NSE:BALRAMCHIN,384.75,385.05,383.55,384.0,18333.0
2024-01-20 10:00:00,NSE:BALRAMCHIN,383.95,383.95,383.5,383.85,18360.0
2024-01-20 10:15:00,NSE:BALRAMCHIN,384.0,384.4,383.0,383.35,25039.0
2024-01-20 10:30:00,NSE:BALRAMCHIN,383.05,383.85,383.0,383.5,18229.0
2024-01-20 10:45:00,NSE:BALRAMCHIN,383.6,384.0,383.2,383.6,13789.0
2024-01-20 11:00:00,NSE:BALRAMCHIN,383.6,384.0,383.25,383.45,12025.0
2024-01-20 11:15:00,NSE:BALRAMCHIN,383.5,383.7,383.1,383.7,13252.0
2024-01-20 11:30:00,NSE:BALRAMCHIN,383.7,384.0,383.1,383.8,15179.0
2024-01-20 11:45:00,NSE:BALRAMCHIN,383.8,384.0,383.3,383.55,11402.0
2024-01-20 12:00:00,NSE:BALRAMCHIN,383.55,383.85,383.2,383.6,10154.0
2024-01-20 12:15:00,NSE:BALRAMCHIN,383.6,383.75,383.3,383.3,6354.0
2024-01-20 12:30:00,NSE:BALRAMCHIN,383.5,383.8,383.25,383.4,7523.0
2024-01-20 12:45:00,NSE:BALRAMCHIN,383.55,383.7,383.3,383.5,6100.0
2024-01-20 13:00:00,NSE:BALRAMCHIN,383.35,383.55,382.75,383.45,22922.0
2024-01-20 13:15:00,NSE:BALRAMCHIN,383.45,383.7,382.9,383.2,13130.0
2024-01-20 13:30:00,NSE:BALRAMCHIN,383.4,383.7,382.65,382.75,15955.0
2024-01-20 13:45:00,NSE:BALRAMCHIN,382.75,383.5,382.5,383.25,15962.0
2024-01-20 14:00:00,NSE:BALRAMCHIN,383.3,383.35,382.7,383.0,10823.0
2024-01-20 14:15:00,NSE:BALRAMCHIN,383.0,383.35,382.85,383.25,13880.0
2024-01-20 14:30:00,NSE:BALRAMCHIN,383.2,383.45,383.0,383.1,10000.0
2024-01-20 14:45:00,NSE:BALRAMCHIN,383.05,383.3,382.5,382.95,26305.0
2024-01-20 15:00:00,NSE:BALRAMCHIN,383.1,384.0,382.6,383.8,52598.0
2024-01-20 15:15:00,NSE:BALRAMCHIN,383.8,383.95,381.5,382.7,73110.0
2024-01-23 09:15:00,NSE:BALRAMCHIN,384.2,385.6,383.0,384.6,75031.0
2024-01-23 09:30:00,NSE:BALRAMCHIN,384.7,385.25,383.5,385.0,39861.0
2024-01-23 09:45:00,NSE:BALRAMCHIN,385.0,385.95,381.6,381.75,81895.0
2024-01-23 10:00:00,NSE:BALRAMCHIN,381.95,383.35,380.6,383.0,115185.0
2024-01-23 10:15:00,NSE:BALRAMCHIN,383.0,383.0,380.1,380.6,94761.0
2024-01-23 10:30:00,NSE:BALRAMCHIN,380.55,382.4,380.5,382.0,24337.0
2024-01-23 10:45:00,NSE:BALRAMCHIN,381.75,382.95,381.65,382.0,36096.0
2024-01-23 11:00:00,NSE:BALRAMCHIN,382.0,383.15,381.65,383.15,19574.0
2024-01-23 11:15:00,NSE:BALRAMCHIN,383.25,383.25,381.9,383.0,18048.0
2024-01-23 11:30:00,NSE:BALRAMCHIN,383.05,383.05,380.4,380.5,36682.0
2024-01-23 11:45:00,NSE:BALRAMCHIN,380.5,381.9,379.0,380.8,62819.0
2024-01-23 12:00:00,NSE:BALRAMCHIN,380.8,380.8,378.2,379.75,56281.0
2024-01-23 12:15:00,NSE:BALRAMCHIN,379.85,380.8,378.65,379.05,33326.0
2024-01-23 12:30:00,NSE:BALRAMCHIN,379.05,379.3,378.25,378.55,47582.0
2024-01-23 12:45:00,NSE:BALRAMCHIN,378.5,378.5,376.2,376.2,70449.0
2024-01-23 13:00:00,NSE:BALRAMCHIN,376.25,376.65,374.5,375.0,93234.0
2024-01-23 13:15:00,NSE:BALRAMCHIN,375.15,375.65,374.3,375.1,35807.0
2024-01-23 13:30:00,NSE:BALRAMCHIN,375.0,376.5,374.05,375.55,57546.0
2024-01-23 13:45:00,NSE:BALRAMCHIN,375.6,376.35,374.5,374.6,44945.0
2024-01-23 14:00:00,NSE:BALRAMCHIN,374.6,374.95,374.15,374.15,34504.0
2024-01-23 14:15:00,NSE:BALRAMCHIN,374.3,375.5,374.0,375.0,46359.0
2024-01-23 14:30:00,NSE:BALRAMCHIN,375.1,375.95,374.0,374.1,49616.0
2024-01-23 14:45:00,NSE:BALRAMCHIN,374.1,374.8,373.75,374.15,50353.0
2024-01-23 15:00:00,NSE:BALRAMCHIN,374.3,380.0,374.3,379.35,162441.0
2024-01-23 15:15:00,NSE:BALRAMCHIN,378.75,380.0,378.1,378.15,125878.0
2024-01-24 09:15:00,NSE:BALRAMCHIN,379.0,380.5,377.7,380.15,84415.0
2024-01-24 09:30:00,NSE:BALRAMCHIN,380.15,380.45,378.5,379.35,44737.0
2024-01-24 09:45:00,NSE:BALRAMCHIN,379.7,381.95,378.35,381.75,95246.0
2024-01-24 10:00:00,NSE:BALRAMCHIN,381.8,381.8,379.9,380.65,71074.0
2024-01-24 10:15:00,NSE:BALRAMCHIN,381.1,381.4,379.65,380.65,38073.0
2024-01-24 10:30:00,NSE:BALRAMCHIN,380.6,380.65,380.0,380.35,23131.0
2024-01-24 10:45:00,NSE:BALRAMCHIN,380.3,380.5,379.85,380.2,35948.0
2024-01-24 11:00:00,NSE:BALRAMCHIN,379.65,380.85,379.6,380.0,70664.0
2024-01-24 11:15:00,NSE:BALRAMCHIN,380.0,380.6,379.95,380.0,42155.0
2024-01-24 11:30:00,NSE:BALRAMCHIN,380.0,381.4,379.9,380.65,46777.0
2024-01-24 11:45:00,NSE:BALRAMCHIN,380.45,386.5,380.3,383.55,208737.0
2024-01-24 12:00:00,NSE:BALRAMCHIN,383.85,385.7,382.75,383.4,97231.0
2024-01-24 12:15:00,NSE:BALRAMCHIN,383.1,385.0,382.25,382.95,65313.0
2024-01-24 12:30:00,NSE:BALRAMCHIN,383.2,383.5,382.25,382.3,32499.0
2024-01-24 12:45:00,NSE:BALRAMCHIN,382.3,382.65,380.45,382.4,79379.0
2024-01-24 13:00:00,NSE:BALRAMCHIN,382.5,382.9,380.95,381.0,44684.0
2024-01-24 13:15:00,NSE:BALRAMCHIN,381.15,383.25,381.0,382.65,27889.0
2024-01-24 13:30:00,NSE:BALRAMCHIN,382.8,382.9,381.55,382.65,21436.0
2024-01-24 13:45:00,NSE:BALRAMCHIN,382.75,383.3,381.9,382.1,15646.0
2024-01-24 14:00:00,NSE:BALRAMCHIN,382.2,383.0,381.9,382.6,28796.0
2024-01-24 14:15:00,NSE:BALRAMCHIN,382.7,383.5,382.45,382.65,33016.0
2024-01-24 14:30:00,NSE:BALRAMCHIN,382.6,383.95,381.45,383.4,54978.0
2024-01-24 14:45:00,NSE:BALRAMCHIN,383.3,383.8,382.6,383.35,28944.0
2024-01-24 15:00:00,NSE:BALRAMCHIN,383.6,385.85,383.6,385.35,99717.0
2024-01-24 15:15:00,NSE:BALRAMCHIN,384.8,385.2,383.3,384.2,103654.0
2024-01-25 09:15:00,NSE:BALRAMCHIN,387.5,389.55,384.75,389.55,285023.0
2024-01-25 09:30:00,NSE:BALRAMCHIN,389.6,392.75,389.3,392.15,403495.0
2024-01-25 09:45:00,NSE:BALRAMCHIN,392.4,394.6,390.7,391.2,499578.0
2024-01-25 10:00:00,NSE:BALRAMCHIN,391.2,391.5,389.05,389.55,160501.0
2024-01-25 10:15:00,NSE:BALRAMCHIN,389.85,390.2,387.65,389.25,97414.0
2024-01-25 10:30:00,NSE:BALRAMCHIN,389.3,389.85,387.2,387.35,59624.0
2024-01-25 10:45:00,NSE:BALRAMCHIN,387.6,387.75,384.05,384.85,181878.0
2024-01-25 11:00:00,NSE:BALRAMCHIN,385.1,385.45,383.3,385.3,127610.0
2024-01-25 11:15:00,NSE:BALRAMCHIN,385.3,385.65,384.0,384.7,53533.0
2024-01-25 11:30:00,NSE:BALRAMCHIN,384.8,386.4,384.75,385.65,60076.0
2024-01-25 11:45:00,NSE:BALRAMCHIN,385.6,386.3,382.2,383.55,129002.0
2024-01-25 12:00:00,NSE:BALRAMCHIN,383.4,384.95,383.05,383.2,58284.0
2024-01-25 12:15:00,NSE:BALRAMCHIN,383.3,384.95,382.8,384.15,64852.0
2024-01-25 12:30:00,NSE:BALRAMCHIN,383.75,386.65,383.0,386.0,80659.0
2024-01-25 12:45:00,NSE:BALRAMCHIN,386.2,386.6,384.7,384.9,28808.0
2024-01-25 13:00:00,NSE:BALRAMCHIN,384.9,385.7,384.5,384.9,25709.0
2024-01-25 13:15:00,NSE:BALRAMCHIN,385.4,386.8,384.9,385.8,63331.0
2024-01-25 13:30:00,NSE:BALRAMCHIN,385.55,386.45,385.5,385.8,27934.0
2024-01-25 13:45:00,NSE:BALRAMCHIN,385.8,386.6,385.55,386.5,33145.0
2024-01-25 14:00:00,NSE:BALRAMCHIN,386.5,387.9,386.0,387.35,58718.0
2024-01-25 14:15:00,NSE:BALRAMCHIN,387.55,389.0,386.75,388.3,123666.0
2024-01-25 14:30:00,NSE:BALRAMCHIN,388.3,388.5,385.4,385.75,85182.0
2024-01-25 14:45:00,NSE:BALRAMCHIN,385.75,387.35,385.1,385.95,89008.0
2024-01-25 15:00:00,NSE:BALRAMCHIN,386.35,388.6,386.25,387.95,102137.0
2024-01-25 15:15:00,NSE:BALRAMCHIN,387.8,388.5,386.35,387.85,167852.0
2024-01-29 09:15:00,NSE:BALRAMCHIN,390.0,390.5,387.75,387.8,103397.0
2024-01-29 09:30:00,NSE:BALRAMCHIN,387.8,388.9,386.5,387.0,56655.0
2024-01-29 09:45:00,NSE:BALRAMCHIN,386.8,388.05,386.15,387.8,38615.0
2024-01-29 10:00:00,NSE:BALRAMCHIN,387.75,387.95,386.5,386.75,21785.0
2024-01-29 10:15:00,NSE:BALRAMCHIN,386.75,387.35,386.0,386.5,26295.0
2024-01-29 10:30:00,NSE:BALRAMCHIN,386.6,386.75,385.35,385.8,59596.0
2024-01-29 10:45:00,NSE:BALRAMCHIN,385.4,385.8,385.25,385.6,17608.0
2024-01-29 11:00:00,NSE:BALRAMCHIN,385.6,386.9,385.3,386.5,34994.0
2024-01-29 11:15:00,NSE:BALRAMCHIN,386.5,386.5,385.7,386.2,17320.0
2024-01-29 11:30:00,NSE:BALRAMCHIN,386.45,387.0,385.95,386.8,25205.0
2024-01-29 11:45:00,NSE:BALRAMCHIN,386.9,388.3,386.0,387.35,128109.0
2024-01-29 12:00:00,NSE:BALRAMCHIN,387.65,393.3,387.5,391.3,252569.0
2024-01-29 12:15:00,NSE:BALRAMCHIN,391.1,394.45,391.1,393.95,367651.0
2024-01-29 12:30:00,NSE:BALRAMCHIN,393.95,396.25,393.9,395.1,463608.0
2024-01-29 12:45:00,NSE:BALRAMCHIN,395.1,395.4,393.6,394.05,85076.0
2024-01-29 13:00:00,NSE:BALRAMCHIN,394.15,394.15,391.3,392.15,93706.0
2024-01-29 13:15:00,NSE:BALRAMCHIN,392.4,393.45,391.7,393.1,40312.0
2024-01-29 13:30:00,NSE:BALRAMCHIN,393.4,395.2,393.0,394.0,112588.0
2024-01-29 13:45:00,NSE:BALRAMCHIN,394.2,395.25,393.75,395.2,55832.0
2024-01-29 14:00:00,NSE:BALRAMCHIN,395.0,395.6,393.7,394.6,83820.0
2024-01-29 14:15:00,NSE:BALRAMCHIN,394.5,394.7,393.4,393.65,40387.0
2024-01-29 14:30:00,NSE:BALRAMCHIN,393.5,394.0,392.8,393.0,53819.0
2024-01-29 14:45:00,NSE:BALRAMCHIN,393.15,393.25,391.15,391.75,111666.0
2024-01-29 15:00:00,NSE:BALRAMCHIN,391.6,392.5,391.2,391.45,86175.0
2024-01-29 15:15:00,NSE:BALRAMCHIN,391.4,393.5,391.05,393.0,163568.0
2024-01-30 09:15:00,NSE:BALRAMCHIN,394.0,394.3,390.25,391.5,163085.0
2024-01-30 09:30:00,NSE:BALRAMCHIN,390.85,392.4,390.1,391.5,71644.0
2024-01-30 09:45:00,NSE:BALRAMCHIN,391.4,392.0,390.15,391.25,38199.0
2024-01-30 10:00:00,NSE:BALRAMCHIN,391.25,394.25,391.25,393.1,159823.0
2024-01-30 10:15:00,NSE:BALRAMCHIN,393.25,399.0,391.75,398.05,662944.0
2024-01-30 10:30:00,NSE:BALRAMCHIN,398.0,398.45,396.0,396.3,168944.0
2024-01-30 10:45:00,NSE:BALRAMCHIN,396.45,397.6,395.25,396.25,103005.0
2024-01-30 11:00:00,NSE:BALRAMCHIN,396.3,396.3,395.1,396.0,37180.0
2024-01-30 11:15:00,NSE:BALRAMCHIN,396.3,397.45,395.95,397.4,66381.0
2024-01-30 11:30:00,NSE:BALRAMCHIN,397.2,398.2,396.95,397.65,129803.0
2024-01-30 11:45:00,NSE:BALRAMCHIN,397.65,397.85,396.5,397.35,31429.0
2024-01-30 12:00:00,NSE:BALRAMCHIN,397.5,397.5,396.1,396.85,19373.0
2024-01-30 12:15:00,NSE:BALRAMCHIN,396.85,397.85,396.15,396.8,45074.0
2024-01-30 12:30:00,NSE:BALRAMCHIN,396.8,397.5,396.35,396.75,33000.0
2024-01-30 12:45:00,NSE:BALRAMCHIN,396.65,397.25,396.5,397.2,17636.0
2024-01-30 13:00:00,NSE:BALRAMCHIN,397.2,397.2,396.85,396.9,15996.0
2024-01-30 13:15:00,NSE:BALRAMCHIN,396.9,396.95,396.15,396.65,16361.0
2024-01-30 13:30:00,NSE:BALRAMCHIN,396.4,397.2,396.2,396.5,31744.0
2024-01-30 13:45:00,NSE:BALRAMCHIN,396.5,397.1,396.4,396.7,13237.0
2024-01-30 14:00:00,NSE:BALRAMCHIN,396.75,396.75,395.45,395.7,24033.0
2024-01-30 14:15:00,NSE:BALRAMCHIN,395.65,395.65,393.55,393.6,77893.0
2024-01-30 14:30:00,NSE:BALRAMCHIN,393.2,394.2,392.4,393.3,68834.0
2024-01-30 14:45:00,NSE:BALRAMCHIN,393.3,394.0,392.85,393.4,23625.0
2024-01-30 15:00:00,NSE:BALRAMCHIN,393.7,394.0,392.5,393.05,65171.0
2024-01-30 15:15:00,NSE:BALRAMCHIN,393.0,394.15,392.7,393.9,103257.0
2024-01-31 09:15:00,NSE:BALRAMCHIN,395.5,395.5,392.15,393.75,98218.0
2024-01-31 09:30:00,NSE:BALRAMCHIN,393.7,394.6,393.25,394.15,41762.0
2024-01-31 09:45:00,NSE:BALRAMCHIN,394.25,394.4,393.2,393.45,52821.0
2024-01-31 10:00:00,NSE:BALRAMCHIN,393.45,393.8,392.7,393.1,43310.0
2024-01-31 10:15:00,NSE:BALRAMCHIN,393.0,394.95,392.7,393.8,42359.0
2024-01-31 10:30:00,NSE:BALRAMCHIN,393.7,394.9,393.35,394.0,26389.0
2024-01-31 10:45:00,NSE:BALRAMCHIN,394.0,394.95,393.45,394.7,26055.0
2024-01-31 11:00:00,NSE:BALRAMCHIN,394.5,395.0,394.1,394.5,24378.0
2024-01-31 11:15:00,NSE:BALRAMCHIN,394.3,394.4,393.55,394.35,17893.0
2024-01-31 11:30:00,NSE:BALRAMCHIN,394.35,396.0,393.85,396.0,41515.0
2024-01-31 11:45:00,NSE:BALRAMCHIN,395.8,396.0,394.55,394.55,36064.0
2024-01-31 12:00:00,NSE:BALRAMCHIN,394.75,395.2,394.15,394.5,18739.0
2024-01-31 12:15:00,NSE:BALRAMCHIN,394.45,395.0,393.5,393.7,36500.0
2024-01-31 12:30:00,NSE:BALRAMCHIN,393.5,393.8,393.0,393.3,22243.0
2024-01-31 12:45:00,NSE:BALRAMCHIN,393.3,394.95,393.1,393.95,23774.0
2024-01-31 13:00:00,NSE:BALRAMCHIN,393.95,395.6,393.95,395.4,27468.0
2024-01-31 13:15:00,NSE:BALRAMCHIN,395.25,396.0,395.2,395.7,44208.0
2024-01-31 13:30:00,NSE:BALRAMCHIN,395.95,395.95,395.05,395.4,18780.0
2024-01-31 13:45:00,NSE:BALRAMCHIN,395.4,395.75,395.0,395.75,23900.0
2024-01-31 14:00:00,NSE:BALRAMCHIN,395.4,395.65,395.1,395.1,35091.0
2024-01-31 14:15:00,NSE:BALRAMCHIN,395.1,395.15,394.5,394.75,33937.0
2024-01-31 14:30:00,NSE:BALRAMCHIN,394.8,395.95,394.8,395.75,42422.0
2024-01-31 14:45:00,NSE:BALRAMCHIN,395.75,396.9,395.6,395.7,84682.0
2024-01-31 15:00:00,NSE:BALRAMCHIN,395.75,396.0,395.4,395.7,62154.0
2024-01-31 15:15:00,NSE:BALRAMCHIN,395.8,396.0,394.6,395.05,89573.0
2024-02-01 09:15:00,NSE:BALRAMCHIN,396.1,396.9,394.0,395.9,92739.0
2024-02-01 09:30:00,NSE:BALRAMCHIN,395.95,396.3,394.4,394.8,39870.0
2024-02-01 09:45:00,NSE:BALRAMCHIN,394.45,395.35,393.0,393.1,39488.0
2024-02-01 10:00:00,NSE:BALRAMCHIN,393.45,394.35,392.05,393.25,52294.0
2024-02-01 10:15:00,NSE:BALRAMCHIN,393.15,393.3,392.55,393.3,15154.0
2024-02-01 10:30:00,NSE:BALRAMCHIN,392.9,394.1,391.85,392.95,55758.0
2024-02-01 10:45:00,NSE:BALRAMCHIN,393.0,393.0,392.3,392.7,9553.0
2024-02-01 11:00:00,NSE:BALRAMCHIN,392.9,393.9,391.85,392.15,33937.0
2024-02-01 11:15:00,NSE:BALRAMCHIN,392.05,392.15,389.5,391.55,72816.0
2024-02-01 11:30:00,NSE:BALRAMCHIN,391.5,392.5,391.0,391.0,24691.0
2024-02-01 11:45:00,NSE:BALRAMCHIN,391.0,391.2,390.25,390.3,33377.0
2024-02-01 12:00:00,NSE:BALRAMCHIN,390.25,391.0,388.5,390.85,73024.0
2024-02-01 12:15:00,NSE:BALRAMCHIN,390.7,390.7,389.0,389.1,34156.0
2024-02-01 12:30:00,NSE:BALRAMCHIN,389.2,389.85,388.5,389.75,29201.0
2024-02-01 12:45:00,NSE:BALRAMCHIN,389.65,390.5,389.45,390.1,12644.0
2024-02-01 13:00:00,NSE:BALRAMCHIN,390.15,390.55,389.75,390.2,15098.0
2024-02-01 13:15:00,NSE:BALRAMCHIN,390.4,390.8,389.65,389.95,11149.0
2024-02-01 13:30:00,NSE:BALRAMCHIN,389.85,390.45,389.15,390.0,14430.0
2024-02-01 13:45:00,NSE:BALRAMCHIN,390.0,391.8,389.7,389.7,72935.0
2024-02-01 14:00:00,NSE:BALRAMCHIN,389.7,390.45,389.7,389.8,26280.0
2024-02-01 14:15:00,NSE:BALRAMCHIN,389.8,389.95,388.7,388.7,50477.0
2024-02-01 14:30:00,NSE:BALRAMCHIN,389.0,389.2,388.55,388.9,35326.0
2024-02-01 14:45:00,NSE:BALRAMCHIN,388.85,389.6,388.55,389.1,41112.0
2024-02-01 15:00:00,NSE:BALRAMCHIN,389.1,389.2,388.5,388.65,54485.0
2024-02-01 15:15:00,NSE:BALRAMCHIN,388.8,389.95,388.4,389.05,110650.0
2024-02-02 09:15:00,NSE:BALRAMCHIN,390.2,392.5,390.2,391.25,52266.0
2024-02-02 09:30:00,NSE:BALRAMCHIN,391.45,394.2,391.1,393.0,64462.0
2024-02-02 09:45:00,NSE:BALRAMCHIN,393.1,394.9,392.6,393.05,46338.0
2024-02-02 10:00:00,NSE:BALRAMCHIN,393.25,396.3,393.05,394.15,111116.0
2024-02-02 10:15:00,NSE:BALRAMCHIN,394.25,396.35,393.8,395.2,79359.0
2024-02-02 10:30:00,NSE:BALRAMCHIN,395.05,397.4,394.7,397.3,190386.0
2024-02-02 10:45:00,NSE:BALRAMCHIN,397.15,398.35,396.15,396.7,144781.0
2024-02-02 11:00:00,NSE:BALRAMCHIN,396.7,396.9,396.2,396.25,26524.0
2024-02-02 11:15:00,NSE:BALRAMCHIN,396.3,396.9,396.05,396.15,35187.0
2024-02-02 11:30:00,NSE:BALRAMCHIN,396.15,396.35,395.35,395.8,38906.0
2024-02-02 11:45:00,NSE:BALRAMCHIN,395.8,395.8,395.15,395.3,27855.0
2024-02-02 12:00:00,NSE:BALRAMCHIN,395.3,395.5,393.6,394.3,128778.0
2024-02-02 12:15:00,NSE:BALRAMCHIN,394.0,394.75,393.55,393.7,24002.0
2024-02-02 12:30:00,NSE:BALRAMCHIN,393.7,394.5,392.5,394.3,49210.0
2024-02-02 12:45:00,NSE:BALRAMCHIN,394.25,394.6,393.15,393.2,25537.0
2024-02-02 13:00:00,NSE:BALRAMCHIN,393.15,394.1,392.6,392.6,18544.0
2024-02-02 13:15:00,NSE:BALRAMCHIN,392.5,393.4,391.4,391.4,61290.0
2024-02-02 13:30:00,NSE:BALRAMCHIN,391.5,393.15,391.2,392.75,86437.0
2024-02-02 13:45:00,NSE:BALRAMCHIN,392.75,393.2,392.05,393.15,15278.0
2024-02-02 14:00:00,NSE:BALRAMCHIN,393.2,395.0,393.15,394.6,51968.0
2024-02-02 14:15:00,NSE:BALRAMCHIN,394.6,396.5,394.5,394.95,68504.0
2024-02-02 14:30:00,NSE:BALRAMCHIN,394.75,395.8,394.5,395.8,24949.0
