datetime,symbol,open,high,low,close,volume
2024-01-18 14:15:00,NSE:GMRINFRA,83.8,83.85,83.3,83.4,342997.0
2024-01-18 14:30:00,NSE:GMRINFRA,83.45,84.0,83.2,83.9,637592.0
2024-01-18 14:45:00,NSE:GMRINFRA,83.85,84.15,83.75,83.85,631848.0
2024-01-18 15:00:00,NSE:GMRINFRA,83.9,84.0,83.6,83.7,961191.0
2024-01-18 15:15:00,NSE:GMRINFRA,83.65,83.9,83.55,83.85,1572840.0
2024-01-19 09:15:00,NSE:GMRINFRA,83.5,84.55,83.5,83.85,2782351.0
2024-01-19 09:30:00,NSE:GMRINFRA,83.8,84.0,83.55,83.75,2855234.0
2024-01-19 09:45:00,NSE:GMRINFRA,83.75,83.75,82.9,83.1,6847823.0
2024-01-19 10:00:00,NSE:GMRINFRA,83.1,83.3,82.95,83.25,2378520.0
2024-01-19 10:15:00,NSE:GMRINFRA,83.2,83.4,83.05,83.15,970908.0
2024-01-19 10:30:00,NSE:GMRINFRA,83.15,83.3,83.15,83.25,758735.0
2024-01-19 10:45:00,NSE:GMRINFRA,83.25,83.25,83.05,83.15,1197343.0
2024-01-19 11:00:00,NSE:GMRINFRA,83.15,83.35,82.8,83.1,1266621.0
2024-01-19 11:15:00,NSE:GMRINFRA,83.05,83.3,83.0,83.05,855383.0
2024-01-19 11:30:00,NSE:GMRINFRA,83.05,83.15,82.9,83.0,754697.0
2024-01-19 11:45:00,NSE:GMRINFRA,83.0,83.3,82.9,83.25,706508.0
2024-01-19 12:00:00,NSE:GMRINFRA,83.2,83.2,82.9,82.95,585077.0
2024-01-19 12:15:00,NSE:GMRINFRA,83.0,83.0,82.6,82.75,921048.0
2024-01-19 12:30:00,NSE:GMRINFRA,82.75,82.95,82.7,82.85,782487.0
2024-01-19 12:45:00,NSE:GMRINFRA,82.8,82.95,82.8,82.9,416726.0
2024-01-19 13:00:00,NSE:GMRINFRA,82.9,83.2,82.8,82.95,816603.0
2024-01-19 13:15:00,NSE:GMRINFRA,82.95,83.05,82.8,82.85,535583.0
2024-01-19 13:30:00,NSE:GMRINFRA,82.85,82.95,82.75,82.8,558047.0
2024-01-19 13:45:00,NSE:GMRINFRA,82.75,82.8,82.65,82.7,654781.0
2024-01-19 14:00:00,NSE:GMRINFRA,82.7,82.75,82.55,82.7,759980.0
2024-01-19 14:15:00,NSE:GMRINFRA,82.7,82.85,82.55,82.65,1020209.0
2024-01-19 14:30:00,NSE:GMRINFRA,82.7,82.7,82.5,82.65,914679.0
2024-01-19 14:45:00,NSE:GMRINFRA,82.65,82.7,82.55,82.6,734289.0
2024-01-19 15:00:00,NSE:GMRINFRA,82.6,82.95,82.5,82.8,1549122.0
2024-01-19 15:15:00,NSE:GMRINFRA,82.8,82.8,81.85,82.45,7244451.0
2024-01-20 09:15:00,NSE:GMRINFRA,82.55,83.4,82.25,82.3,2029657.0
2024-01-20 09:30:00,NSE:GMRINFRA,82.3,82.35,81.9,82.15,897049.0
2024-01-20 09:45:00,NSE:GMRINFRA,82.15,82.25,82.0,82.1,487791.0
2024-01-20 10:00:00,NSE:GMRINFRA,82.15,82.25,81.65,81.9,2181132.0
2024-01-20 10:15:00,NSE:GMRINFRA,81.9,82.1,81.7,81.85,738038.0
2024-01-20 10:30:00,NSE:GMRINFRA,81.8,81.9,81.7,81.75,689153.0
2024-01-20 10:45:00,NSE:GMRINFRA,81.8,81.9,81.6,81.8,908416.0
2024-01-20 11:00:00,NSE:GMRINFRA,81.75,81.8,81.5,81.7,788315.0
2024-01-20 11:15:00,NSE:GMRINFRA,81.65,81.8,81.65,81.8,486442.0
2024-01-20 11:30:00,NSE:GMRINFRA,81.8,81.8,81.6,81.65,847620.0
2024-01-20 11:45:00,NSE:GMRINFRA,81.6,81.7,81.4,81.5,521550.0
2024-01-20 12:00:00,NSE:GMRINFRA,81.5,81.5,81.1,81.35,870152.0
2024-01-20 12:15:00,NSE:GMRINFRA,81.3,81.45,81.3,81.4,747005.0
2024-01-20 12:30:00,NSE:GMRINFRA,81.4,81.45,81.3,81.45,534073.0
2024-01-20 12:45:00,NSE:GMRINFRA,81.35,82.2,81.35,82.2,779096.0
2024-01-20 13:00:00,NSE:GMRINFRA,82.2,84.05,82.15,83.85,4414162.0
2024-01-20 13:15:00,NSE:GMRINFRA,83.85,83.9,83.4,83.6,1486452.0
2024-01-20 13:30:00,NSE:GMRINFRA,83.6,84.05,83.45,84.05,969206.0
2024-01-20 13:45:00,NSE:GMRINFRA,84.0,84.5,83.9,83.95,2531403.0
2024-01-20 14:00:00,NSE:GMRINFRA,83.9,84.0,83.3,83.45,2248181.0
2024-01-20 14:15:00,NSE:GMRINFRA,83.45,83.45,82.9,82.95,1965518.0
2024-01-20 14:30:00,NSE:GMRINFRA,82.9,83.0,82.5,82.8,1543198.0
2024-01-20 14:45:00,NSE:GMRINFRA,82.8,82.8,81.95,82.15,2221938.0
2024-01-20 15:00:00,NSE:GMRINFRA,82.15,82.15,81.7,81.9,1675705.0
2024-01-20 15:15:00,NSE:GMRINFRA,81.9,82.05,81.85,82.05,1557609.0
2024-01-23 09:15:00,NSE:GMRINFRA,83.0,83.0,81.15,81.9,3430734.0
2024-01-23 09:30:00,NSE:GMRINFRA,81.9,82.4,81.5,81.75,1917570.0
