datetime,symbol,open,high,low,close,volume
2024-01-18 14:00:00,NSE:JUBLFOOD,521.75,522.55,520.9,522.05,48785.0
2024-01-18 14:15:00,NSE:JUBLFOOD,522.1,522.35,521.15,522.0,58819.0
2024-01-18 14:30:00,NSE:JUBLFOOD,521.95,524.0,521.4,523.4,53838.0
2024-01-18 14:45:00,NSE:JUBLFOOD,523.6,524.95,522.7,523.5,85007.0
2024-01-18 15:00:00,NSE:JUBLFOOD,523.5,525.2,522.9,525.0,115281.0
2024-01-18 15:15:00,NSE:JUBLFOOD,524.9,525.0,523.4,524.75,127375.0
2024-01-19 09:15:00,NSE:JUBLFOOD,528.0,535.95,527.25,533.95,317879.0
2024-01-19 09:30:00,NSE:JUBLFOOD,533.7,534.4,530.9,531.0,87476.0
2024-01-19 09:45:00,NSE:JUBLFOOD,531.15,533.6,530.55,532.6,48648.0
2024-01-19 10:00:00,NSE:JUBLFOOD,532.4,537.3,531.65,536.25,315528.0
2024-01-19 10:15:00,NSE:JUBLFOOD,536.25,536.45,534.8,535.25,93457.0
2024-01-19 10:30:00,NSE:JUBLFOOD,535.25,535.75,533.5,535.15,82251.0
2024-01-19 10:45:00,NSE:JUBLFOOD,535.05,535.35,533.5,534.4,62903.0
2024-01-19 11:00:00,NSE:JUBLFOOD,534.4,535.55,533.5,533.5,88292.0
2024-01-19 11:15:00,NSE:JUBLFOOD,533.5,534.0,533.5,533.55,33233.0
2024-01-19 11:30:00,NSE:JUBLFOOD,533.65,534.0,533.35,534.0,34852.0
2024-01-19 11:45:00,NSE:JUBLFOOD,533.9,534.35,531.1,531.15,85510.0
2024-01-19 12:00:00,NSE:JUBLFOOD,531.15,531.5,529.5,529.85,76834.0
2024-01-19 12:15:00,NSE:JUBLFOOD,529.75,530.0,528.2,528.85,36303.0
2024-01-19 12:30:00,NSE:JUBLFOOD,528.85,529.8,528.7,529.6,24283.0
2024-01-19 12:45:00,NSE:JUBLFOOD,529.25,531.2,529.25,530.95,26796.0
2024-01-19 13:00:00,NSE:JUBLFOOD,530.75,530.9,529.8,530.3,32414.0
2024-01-19 13:15:00,NSE:JUBLFOOD,530.1,530.5,528.2,529.35,25969.0
2024-01-19 13:30:00,NSE:JUBLFOOD,529.15,529.65,528.65,529.05,30540.0
2024-01-19 13:45:00,NSE:JUBLFOOD,529.05,529.85,528.85,529.45,14616.0
2024-01-19 14:00:00,NSE:JUBLFOOD,529.3,529.7,528.5,529.0,108277.0
2024-01-19 14:15:00,NSE:JUBLFOOD,529.25,532.0,529.15,531.55,39456.0
2024-01-19 14:30:00,NSE:JUBLFOOD,531.7,532.4,531.35,531.8,74188.0
2024-01-19 14:45:00,NSE:JUBLFOOD,531.75,532.3,530.9,531.55,118027.0
2024-01-19 15:00:00,NSE:JUBLFOOD,531.5,532.25,531.5,532.0,169617.0
2024-01-19 15:15:00,NSE:JUBLFOOD,531.95,532.45,529.85,531.1,237089.0
2024-01-20 09:15:00,NSE:JUBLFOOD,532.45,535.85,531.3,532.0,52926.0
2024-01-20 09:30:00,NSE:JUBLFOOD,532.0,533.3,527.7,528.9,40910.0
2024-01-20 09:45:00,NSE:JUBLFOOD,528.9,529.7,526.9,529.2,48831.0
2024-01-20 10:00:00,NSE:JUBLFOOD,529.1,529.5,527.1,527.75,27590.0
2024-01-20 10:15:00,NSE:JUBLFOOD,527.7,527.9,527.1,527.1,15445.0
2024-01-20 10:30:00,NSE:JUBLFOOD,526.85,527.1,525.2,525.85,42779.0
2024-01-20 10:45:00,NSE:JUBLFOOD,525.8,528.75,525.5,528.15,34745.0
2024-01-20 11:00:00,NSE:JUBLFOOD,527.95,528.15,527.15,527.35,21841.0
2024-01-20 11:15:00,NSE:JUBLFOOD,527.3,527.6,525.8,526.35,19848.0
2024-01-20 11:30:00,NSE:JUBLFOOD,526.05,527.15,525.55,526.65,15993.0
